,1_MBiRW,2_MBiRW,3_MBiRW,4_MBiRW,5_MBiRW,6_MBiRW,7_MBiRW,8_MBiRW,9_MBiRW,10_MBiRW,11_MBiRW,12_MBiRW,13_MBiRW,14_MBiRW,15_MBiRW,16_MBiRW,17_MBiRW,18_MBiRW,19_MBiRW,20_MBiRW,21_MBiRW,22_MBiRW,23_MBiRW,24_MBiRW,25_MBiRW,26_MBiRW,27_MBiRW,28_MBiRW,29_MBiRW,30_MBiRW,31_MBiRW,32_MBiRW,33_MBiRW,34_MBiRW,35_MBiRW,36_MBiRW,37_MBiRW,38_MBiRW,39_MBiRW,40_MBiRW,41_MBiRW,42_MBiRW,43_MBiRW,44_MBiRW,45_MBiRW,46_MBiRW,47_MBiRW,48_MBiRW,49_MBiRW,50_MBiRW,51_MBiRW,52_MBiRW,53_MBiRW,54_MBiRW,55_MBiRW,56_MBiRW,57_MBiRW,58_MBiRW,59_MBiRW,60_MBiRW,61_MBiRW,62_MBiRW,63_MBiRW,64_MBiRW,65_MBiRW,66_MBiRW,67_MBiRW,68_MBiRW,69_MBiRW,70_MBiRW,71_MBiRW,72_MBiRW,73_MBiRW,74_MBiRW,75_MBiRW,76_MBiRW,77_MBiRW,78_MBiRW,79_MBiRW,80_MBiRW,81_MBiRW,82_MBiRW,83_MBiRW,84_MBiRW,85_MBiRW,86_MBiRW,87_MBiRW,88_MBiRW,89_MBiRW,90_MBiRW,91_MBiRW,92_MBiRW,93_MBiRW,94_MBiRW,95_MBiRW,96_MBiRW,97_MBiRW,98_MBiRW,99_MBiRW,100_MBiRW
ACC,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136
AUC,0.5,0.5,0.5,0.503305785123967,0.503030303030303,0.5,0.5022956841138659,0.503030303030303,0.5023875114784205,0.5,0.5022956841138659,0.5,0.503305785123967,0.502020202020202,0.5022956841138659,0.502020202020202,0.5027548209366391,0.5026629935720845,0.5029384756657483,0.5028466483011939,0.5023875114784205,0.5,0.5026629935720845,0.502020202020202,0.5,0.502020202020202,0.5,0.5026629935720845,0.5027548209366391,0.502020202020202,0.5029384756657483,0.5,0.503030303030303,0.5022956841138659,0.5035812672176309,0.5022956841138659,0.5022956841138659,0.502020202020202,0.5,0.5,0.5022956841138659,0.502020202020202,0.503030303030303,0.5022956841138659,0.5022956841138659,0.5056932966023875,0.5023875114784205,0.5031221303948576,0.5028466483011939,0.5,0.5022956841138659,0.5,0.502020202020202,0.503030303030303,0.5,0.5036730945821856,0.502020202020202,0.5,0.502020202020202,0.502020202020202,0.5,0.5022956841138659,0.5,0.5,0.5,0.5027548209366391,0.5027548209366391,0.5,0.503030303030303,0.5022956841138659,0.5025711662075298,0.502020202020202,0.5024793388429752,0.5017454851545762,0.5,0.5049586776859504,0.5035812672176309,0.5,0.5039485766758495,0.5054178145087236,0.503305785123967,0.5,0.502020202020202,0.505325987144169,0.502020202020202,0.5,0.5036730945821856,0.5022956841138659,0.5026629935720845,0.5,0.5,0.503030303030303,0.5026629935720845,0.502020202020202,0.5022956841138659,0.502020202020202,0.5,0.5028466483011939,0.5,0.5049586776859504
Fscore,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003812545246922,0.0003811149466366,0.0003800289612777,0.0003807845169541,0.0003811149466366,0.0003808228399843,0.0003800289612777,0.0003807845169541,0.0003800289612777,0.0003812545246922,0.0003806741010949,0.0003807845169541,0.0003806741010949,0.0003809843736169,0.0003809427013766,0.0003810704657178,0.0003810269517755,0.0003808228399843,0.0003800289612777,0.0003809427013766,0.0003806741010949,0.0003800289612777,0.0003806741010949,0.0003800289612777,0.0003809427013766,0.0003809843736169,0.0003806741010949,0.0003810704657178,0.0003800289612777,0.0003811149466366,0.0003807845169541,0.00038140407260888105,0.0003807845169541966,0.0003807845169541966,0.0003806741010949459,0.0003800289612777521,0.0003800289612777521,0.0003807845169541966,0.0003806741010949459,0.00038111494663669497,0.0003807845169541966,0.0003807845169541966,0.00038303929327124486,0.0003808228399843832,0.00038116042712670175,0.00038102695177559483,0.0003800289612777521,0.0003807845169541966,0.0003800289612777521,0.0003806741010949459,0.00038111494663669497,0.0003800289612777521,0.0003814563242906014,0.0003806741010949459,0.0003800289612777521,0.0003806741010949459,0.0003806741010949459,0.0003800289612777521,0.0003807845169541966,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.000380984373616998,0.000380984373616998,0.0003800289612777521,0.00038111494663669497,0.0003807845169541966,0.0003809019064466631,0.0003806741010949459,0.00038086196141103214,0.00038056469635290065,0.0003800289612777521,0.00038234687469209646,0.00038140407260888105,0.0003800289612777521,0.0003816209170880206,0.0003827593506035032,0.00038125452469223305,0.0003800289612777521,0.0003806741010949459,0.00038267177879461995,0.0003806741010949459,0.0003800289612777521,0.0003814563242906014,0.0003807845169541966,0.0003809427013766692,0.0003800289612777521,0.0003800289612777521,0.00038111494663669497,0.0003809427013766692,0.0003806741010949459,0.0003807845169541966,0.0003806741010949459,0.0003800289612777521,0.00038102695177559483,0.0003800289612777521,0.00038234687469209646
HR@10,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.027777777777777776,0.013888888888888888,0.013888888888888888,0.027777777777777776,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888
HR@2,0.0138888888888888,0.0138888888888888,0.0,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.0,0.0,0.013888888888888888,0.0,0.013888888888888888,0.0,0.013888888888888888,0.013888888888888888,0.0,0.013888888888888888,0.013888888888888888,0.0,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.0,0.013888888888888888,0.013888888888888888,0.0,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.0,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888
HR@5,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.027777777777777776,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888
Lin's AUC,0.7399357777480652,0.7227784441501882,0.7292996491223583,0.7536589134233531,0.760468426386443,0.7588283965541587,0.7243956693829323,0.7564244136550194,0.71915190698803,0.7384518402434218,0.7373273850912939,0.7477951533751714,0.7292492676049328,0.7122348411139278,0.7216750692844756,0.7391916991288436,0.7455907013137921,0.7551610591601063,0.7450848530654538,0.7240790812558877,0.7294121256495883,0.720539755951182,0.7556009821574329,0.7224211601402303,0.7399179739622734,0.7423358252529282,0.7458311094463552,0.7526311251907097,0.7551025807118692,0.7489156953323993,0.7510003541957992,0.7422780956301457,0.7337869209887791,0.7340993524880036,0.7392479755871,0.7442301192030683,0.7270346910777201,0.7151035887789627,0.7292764566184944,0.7410500137547542,0.7396653076764095,0.7356581149656078,0.7510782088170841,0.7454924838293693,0.745868619946508,0.7468325761628747,0.7481892738379601,0.7472580898531338,0.7237895496587449,0.737398311739717,0.7500013872023688,0.7358750636569384,0.7379564435019151,0.7563314262773281,0.7372265249994115,0.7299647268617468,0.7118632933854634,0.7516616473294357,0.7341354980966017,0.7459305418670952,0.7517033279241767,0.7235894059312964,0.7404385536045119,0.7350919389950301,0.7152523424169759,0.733288888841302,0.7286264355604143,0.7385499092192422,0.746538214923067,0.7323683191874606,0.7487053596164573,0.7423026608980928,0.7514912794508553,0.7120150776253092,0.7320546635292214,0.7453383117485104,0.7506898532572855,0.739799020260682,0.7384642093454992,0.7197404081167812,0.7375110272847846,0.7584717973574865,0.7552836576473626,0.7181040158517555,0.7506923820886823,0.684246839397823,0.7170272571530605,0.756519817349096,0.7430379969917923,0.7336947725900275,0.7326973546565025,0.757406706748329,0.7397623334395572,0.7433886099782129,0.7450162731311063,0.7467888722815996,0.7062061203786214,0.7406278780613595,0.7563141845049824,0.7476564224805886
NDCGk,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1978626357098321,0.1979918926857076,0.1975368959252907,0.1976258461185544,0.1979918926857076,0.1977809306210545,0.1975368959252907,0.1976258461185544,0.1975368959252907,0.1978626357098321,0.1976162578409965,0.1976258461185544,0.1976162578409965,0.1978069418200991,0.1976659696856599,0.1976764720812298,0.1979080320949404,0.197635605919517,0.1975368959252907,0.1976659696856599,0.1976162578409965,0.1975368959252907,0.1976162578409965,0.1975368959252907,0.1976659696856599,0.1976659696856599,0.1976162578409965,0.1976764720812298,0.1975368959252907,0.1979918926857076,0.1976258461185544,0.19773214116396723,0.19762584611855444,0.19762584611855444,0.19761625784099654,0.1975368959252907,0.1975368959252907,0.19762584611855444,0.19761625784099654,0.19799189268570763,0.19762584611855444,0.19762584611855444,0.19820086841997858,0.1977809306210545,0.1976871755831161,0.19782038831558535,0.1975368959252907,0.19762584611855444,0.1975368959252907,0.19761625784099654,0.19799189268570763,0.1975368959252907,0.1978925252352041,0.19761625784099654,0.1975368959252907,0.19761625784099654,0.19761625784099654,0.1975368959252907,0.19762584611855444,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.19766596968565994,0.19780694182009917,0.1975368959252907,0.19799189268570763,0.19762584611855444,0.19782038831558535,0.19761625784099654,0.1976455426427819,0.19653211846768304,0.1975368959252907,0.1980100724007433,0.19773214116396723,0.1975368959252907,0.1979080320949404,0.19784822237323504,0.19786263570983212,0.1975368959252907,0.19761625784099654,0.19806785884713246,0.19761625784099654,0.1975368959252907,0.1978925252352041,0.19762584611855444,0.19766596968565994,0.1975368959252907,0.1975368959252907,0.19799189268570763,0.19766596968565994,0.19761625784099654,0.19762584611855444,0.19761625784099654,0.1975368959252907,0.1979080320949404,0.1975368959252907,0.1980100724007433
global AUC,0.9365929297625356,0.938880990222472,0.9380505790953836,0.9430633791395918,0.9468123925571136,0.9377723237936664,0.9386709097221472,0.9429579634775276,0.9412884316672252,0.9394900584921776,0.942716198212679,0.9442142418661756,0.9414722333344144,0.9370187970240949,0.9363423047768014,0.9384318474229923,0.9452545833288284,0.941451810926949,0.9428181600852455,0.9375476773115462,0.9410064222464888,0.938771369947106,0.9459480441940896,0.9332301401097284,0.9410435129424004,0.940127958395952,0.940099877585687,0.943637308855276,0.9432808177131948,0.942184314630012,0.943634605889582,0.9417665562655346,0.9365882746549514,0.9400327539376204,0.9421554829959431,0.9410759485307278,0.9365442763800441,0.9382223675817105,0.9379032674650627,0.9420957174211544,0.9409341929965559,0.9394113721575313,0.9445297380285649,0.9424263802243822,0.9408286271697306,0.9420203347112452,0.941487249810492,0.9430982173640919,0.9364113805667578,0.9408634653942307,0.9433421600179717,0.9403230224201995,0.9411840671584862,0.9440894549499711,0.9362642191011978,0.9382912932069066,0.9405981242619401,0.9427677047256249,0.9365118407917167,0.9431482973118104,0.9433102500063069,0.9414689297096774,0.9398590133094031,0.9404116196290571,0.9387453914434916,0.9396247562825932,0.9378679787462804,0.9430369501416955,0.9413912945283565,0.9382605094309476,0.9448626533032043,0.9420270921254801,0.9412612518455248,0.938341898731288,0.9381130476358661,0.9449087538847625,0.941782924224459,0.9375684000485333,0.9417076916793106,0.9374497698875206,0.9422365719667619,0.9434270781901903,0.9426092809030067,0.9412070423668849,0.9409555163925859,0.9330915380355326,0.9367843898325242,0.9445803435529463,0.9393519069122641,0.9396220533168994,0.9413493985601001,0.9418898415341312,0.9431229945496198,0.9423424381231087,0.9421813113347965,0.9411559863482212,0.935653348854363,0.9359113319133753,0.9444955004631082,0.9425555219186491
global NDCG,0.4255134069776025,0.430806690758901,0.3995493522205451,0.4248123959209183,0.4303087976601834,0.4292018937202418,0.4184711954482093,0.4275908268054548,0.4341969124495606,0.393489130459969,0.4230280826436344,0.4236715085370328,0.4290158007088679,0.4245565309686634,0.4212255964223999,0.4275585552425157,0.4284063493325517,0.4322250837096784,0.4322852944777138,0.4276549065379254,0.4217892326001393,0.4022469594970906,0.4305830402920925,0.4223707577450569,0.4302355637052318,0.4277415944094129,0.4297470358917497,0.4287277084362534,0.4298416777812255,0.4267500891310951,0.4301376378118846,0.4369230524050401,0.4246501580884037,0.4286677072345667,0.4251225889129126,0.4275407026639137,0.42913885804863483,0.4255672140055238,0.4237597535032155,0.42917280820124565,0.42303621528801666,0.42447759805299484,0.40867952869508095,0.39618588267724786,0.4250176310963388,0.40712256934759344,0.42678622354570206,0.40636842340500356,0.4203070182475646,0.4276406094768,0.40169543840121386,0.4155872795282597,0.4273801264255798,0.4064701871021638,0.4195929158253794,0.42559406504893804,0.42861705343537426,0.4296777082780267,0.4225003904615244,0.429879884283668,0.409080805980635,0.4254252178501355,0.43162625347594413,0.3925306364103611,0.4258011802727887,0.425912265559143,0.4274994928773,0.4229965490862072,0.4286849773208038,0.42760651475815253,0.42934433069574074,0.430048942808829,0.4273047341297574,0.4378457533702716,0.4251238567774471,0.4289989970251097,0.42876084959184463,0.42275242877768826,0.4280685690832069,0.40248099174963603,0.42539760344323463,0.43115218903101576,0.42908567293173894,0.4302724069015153,0.4267066932423513,0.42055510848329686,0.41932402123621315,0.43475481957966783,0.42731906938315933,0.4303339767528406,0.41816466654678336,0.4317989658610417,0.4275615020202195,0.43418110085361933,0.43106295848784904,0.42928311807435404,0.4220326283154554,0.4236687256261819,0.4332022386350071,0.42983397789843136
