,1_NIMCGCN,2_NIMCGCN,3_NIMCGCN,4_NIMCGCN,5_NIMCGCN,6_NIMCGCN,7_NIMCGCN,8_NIMCGCN,9_NIMCGCN,10_NIMCGCN,11_NIMCGCN,12_NIMCGCN,13_NIMCGCN,14_NIMCGCN,15_NIMCGCN,16_NIMCGCN,17_NIMCGCN,18_NIMCGCN,19_NIMCGCN,20_NIMCGCN,21_NIMCGCN,22_NIMCGCN,23_NIMCGCN,24_NIMCGCN,25_NIMCGCN,26_NIMCGCN,27_NIMCGCN,28_NIMCGCN,29_NIMCGCN,30_NIMCGCN,31_NIMCGCN,32_NIMCGCN,33_NIMCGCN,34_NIMCGCN,35_NIMCGCN,36_NIMCGCN,37_NIMCGCN,38_NIMCGCN,39_NIMCGCN,40_NIMCGCN,41_NIMCGCN,42_NIMCGCN,43_NIMCGCN,44_NIMCGCN,45_NIMCGCN,46_NIMCGCN,47_NIMCGCN,48_NIMCGCN,49_NIMCGCN,50_NIMCGCN,51_NIMCGCN,52_NIMCGCN,53_NIMCGCN,54_NIMCGCN,55_NIMCGCN,56_NIMCGCN,57_NIMCGCN,58_NIMCGCN,59_NIMCGCN,60_NIMCGCN,61_NIMCGCN,62_NIMCGCN,63_NIMCGCN,64_NIMCGCN,65_NIMCGCN,66_NIMCGCN,67_NIMCGCN,68_NIMCGCN,69_NIMCGCN,70_NIMCGCN,71_NIMCGCN,72_NIMCGCN,73_NIMCGCN,74_NIMCGCN,75_NIMCGCN,76_NIMCGCN,77_NIMCGCN,78_NIMCGCN,79_NIMCGCN,80_NIMCGCN,81_NIMCGCN,82_NIMCGCN,83_NIMCGCN,84_NIMCGCN,85_NIMCGCN,86_NIMCGCN,87_NIMCGCN,88_NIMCGCN,89_NIMCGCN,90_NIMCGCN,91_NIMCGCN,92_NIMCGCN,93_NIMCGCN,94_NIMCGCN,95_NIMCGCN,96_NIMCGCN,97_NIMCGCN,98_NIMCGCN,99_NIMCGCN,100_NIMCGCN
ACC,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.48663430800583535,0.48482348666835,0.4991873033363311,0.48995292896090464,0.4923727020879568,0.5007624251525411,0.4882720603978703,0.4698005049224262,0.4877603645835285,0.48520679606594863,0.4771005859021225,0.49129464830885766,0.48632604698589205,0.491223270411381,0.48407249394754714,0.45931023179658803,0.4925973208817273,0.4911242957603406,0.47688380179438944,0.4879117424295686,0.49076135017903655,0.4839862167201728,0.4998692982853167,0.47987745774599816,0.48635456353100315,0.48433726016200973,0.4824144393284884,0.47159706042654825,0.48930981822217334,0.490376386997847,0.4917315850930944,0.48424042752970126,0.4935122281929966,0.46316102221042127,0.47478617679840934,0.48809659015817825,0.49539642110663895,0.47695027870333756,0.48309938267783403,0.47083487461729234,0.4835444325864092,0.4845853447871907,0.47804797485351275,0.47934776156882536,0.4822238449389649,0.4953940881886809,0.4925149741961369,0.4877599355215574,0.4844540412185212,0.4860431412995139,0.49535582886383195,0.48572969917974995,0.4880442909065452,0.48934423548710865,0.49022589688509877,0.49145658775722606,0.48473001026840506,0.47766789948008037,0.4827255478724736,0.4949220304116389,0.4824842913693606,0.47527649987936066,0.4826472997230264,0.49990131591150944,0.48405644906264605,0.4936312948364982,0.4719735901952293,0.4573493902588382,0.48543265986656164,0.47929966096847576,0.49682424497921207,0.49234250164071014,0.48285173687356897,0.48112948535318767,0.48498896762482113,0.48788022700540795,0.4954883472422309,0.4963196756506351,0.49440294786290373,0.4817254470191487,0.4718202721960472,0.4933171210377586,0.4684266974171129,0.4822677851471782,0.4821599880183032,0.4910021855619052,0.5042971813971402,0.48325393864166144,0.48717727422995716,0.4833604501610228,0.4911071210039828,0.48638546159066987,0.48387486888795017,0.5001329544863923,0.48560297896071214,0.48083161961512944,0.49733665757178874,0.48166197617326756,0.4863388457327327,0.49989348058593
NDCGk,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907
global AUC,0.8959445303386876,0.8979722051034396,0.8995022338509814,0.8971609399833497,0.896925932132736,0.8999123338126591,0.8974918280337185,0.8962859299223107,0.897362761421832,0.8978516228005368,0.8962360752217332,0.8980231109573424,0.8972581716659518,0.8970655853602573,0.8981385125759983,0.8942392593153206,0.8987210767654269,0.8980821257083272,0.896726288083285,0.8977768407496705,0.8981669687981652,0.8969265327917789,0.8994931488829542,0.8956273823639297,0.8979643214534987,0.8972604241373634,0.8968799817159387,0.8957218359984576,0.8973615601037458,0.8977728613835099,0.8980563724518542,0.8966155415722129,0.8985790209017334,0.8948252022118668,0.8953588877716631,0.8982712582245239,0.8986496734216781,0.8967985173332179,0.896656010975242,0.8954426797081758,0.8969217275194343,0.8974132918638329,0.8963482482980326,0.8962607022425004,0.8975794491716311,0.8987062104541103,0.8986450183140943,0.8974616449168027,0.897180761731772,0.8974310863879847,0.8979114634577058,0.8964841474065346,0.8977032600168906,0.8975309459539007,0.8970806769187153,0.8982141956154291,0.8978465922810508,0.8962004110910491,0.8965598304459653,0.8980546455571052,0.8968732243017037,0.8961508567199932,0.8969558900025107,0.8987420247495551,0.8968167623516521,0.8980596009942108,0.8958445206080112,0.8940508025405475,0.896033277712306,0.8970267677695968,0.8978843587183857,0.8981052510814866,0.8970315730419416,0.8973141831217211,0.8973421888496058,0.897288429865248,0.8972501378512503,0.8982914553848481,0.8981891181003798,0.8968081278779075,0.8959531648124321,0.8982216287710876,0.8949517911052006,0.8970191093667973,0.8962372765398194,0.8971983310087828,0.9000631743148583,0.8962955404670004,0.8976478492201643,0.8976283278012636,0.8980707131865081,0.896672078604645,0.897245407661286,0.8979607174992401,0.8971144639898896,0.8964390228959214,0.8986486222683528,0.8963093556249917,0.8976429688654393,0.8988544230729956
global NDCG,0.320997198615136,0.32333688337724675,0.32336696771838686,0.322002076514368,0.32146332247344056,0.32457763072730184,0.3224511823686334,0.3210093329891808,0.3219443492994844,0.3222085307524671,0.3207180304973482,0.32274850035105956,0.32092784685092074,0.32187783482060456,0.32180955347523205,0.31979702875832555,0.32254647051332036,0.3223594124028968,0.3213070018688363,0.3226822992560253,0.32278447531635557,0.3211506178755955,0.3242052209903641,0.32072875028635167,0.32238809029927384,0.32162591157854675,0.32172202861665306,0.3205776195721752,0.321949480053621,0.3224097852890006,0.3219180074596074,0.32076314425971514,0.322614142625898,0.31990959089963256,0.320426279733752,0.32254661339385227,0.32281306279803873,0.32097078752404123,0.3216901064202949,0.3200253247027094,0.32105581580706916,0.32164671373137244,0.32079432655504025,0.32118373658278954,0.32167725490362803,0.3229436715202217,0.3229299870120803,0.3217708063454077,0.32260168525285365,0.32135714188929704,0.32208289504926185,0.32107177220073124,0.3218461286297302,0.3225083382466362,0.32190024815463997,0.3227181283116156,0.3221602588204715,0.32084335547356435,0.3209803066765186,0.32262698311668386,0.32084604871897987,0.32087963379112633,0.32161820238305366,0.3230535393592502,0.3216126489449117,0.32194157646910815,0.32076673396224226,0.3200230639084019,0.3205895516627821,0.32171482133248586,0.3221527297593742,0.32263555337278793,0.32193765875720387,0.3217803054657343,0.32177686027671887,0.32198427298496124,0.3227414746255096,0.32190414027442793,0.3226200963637331,0.32069791172596995,0.32067873569455047,0.32265908252604897,0.32000502968775674,0.32148598781432947,0.32072819401372155,0.3219054244393188,0.3254260787955224,0.3207194703025848,0.3211847373889799,0.3218349374510871,0.32238944250727414,0.3213290281086552,0.32176269132771695,0.3219338097333981,0.3218114303949734,0.3213022898848914,0.3232678749752237,0.32144794760235157,0.3219453332816488,0.32298833474911215
