,1_PMF,2_PMF,3_PMF,4_PMF,5_PMF,6_PMF,7_PMF,8_PMF,9_PMF,10_PMF,11_PMF,12_PMF,13_PMF,14_PMF,15_PMF,16_PMF,17_PMF,18_PMF,19_PMF,20_PMF,21_PMF,22_PMF,23_PMF,24_PMF,25_PMF,26_PMF,27_PMF,28_PMF,29_PMF,30_PMF,31_PMF,32_PMF,33_PMF,34_PMF,35_PMF,36_PMF,37_PMF,38_PMF,39_PMF,40_PMF,41_PMF,42_PMF,43_PMF,44_PMF,45_PMF,46_PMF,47_PMF,48_PMF,49_PMF,50_PMF,51_PMF,52_PMF,53_PMF,54_PMF,55_PMF,56_PMF,57_PMF,58_PMF,59_PMF,60_PMF,61_PMF,62_PMF,63_PMF,64_PMF,65_PMF,66_PMF,67_PMF,68_PMF,69_PMF,70_PMF,71_PMF,72_PMF,73_PMF,74_PMF,75_PMF,76_PMF,77_PMF,78_PMF,79_PMF,80_PMF,81_PMF,82_PMF,83_PMF,84_PMF,85_PMF,86_PMF,87_PMF,88_PMF,89_PMF,90_PMF,91_PMF,92_PMF,93_PMF,94_PMF,95_PMF,96_PMF,97_PMF,98_PMF,99_PMF,100_PMF
ACC,0.589041095890411,0.6027397260273972,0.6164383561643836,0.6986301369863014,0.5616438356164384,0.6164383561643836,0.547945205479452,0.6301369863013698,0.589041095890411,0.589041095890411,0.589041095890411,0.6301369863013698,0.589041095890411,0.6027397260273972,0.5753424657534246,0.6164383561643836,0.6438356164383562,0.6301369863013698,0.6301369863013698,0.6164383561643836,0.5616438356164384,0.6027397260273972,0.6438356164383562,0.589041095890411,0.6027397260273972,0.6027397260273972,0.6027397260273972,0.5342465753424658,0.5753424657534246,0.547945205479452,0.6027397260273972,0.5753424657534246,0.6164383561643836,0.5616438356164384,0.684931506849315,0.5753424657534246,0.6712328767123288,0.6027397260273972,0.6164383561643836,0.5616438356164384,0.6575342465753424,0.5753424657534246,0.6027397260273972,0.547945205479452,0.589041095890411,0.6164383561643836,0.6438356164383562,0.6301369863013698,0.589041095890411,0.5753424657534246,0.6301369863013698,0.6438356164383562,0.5205479452054794,0.6164383561643836,0.6438356164383562,0.589041095890411,0.589041095890411,0.547945205479452,0.6164383561643836,0.6712328767123288,0.5753424657534246,0.6438356164383562,0.5753424657534246,0.6164383561643836,0.589041095890411,0.6164383561643836,0.6027397260273972,0.5753424657534246,0.589041095890411,0.5753424657534246,0.6164383561643836,0.6301369863013698,0.589041095890411,0.5616438356164384,0.589041095890411,0.6438356164383562,0.589041095890411,0.6164383561643836,0.6164383561643836,0.6164383561643836,0.5753424657534246,0.5205479452054794,0.6164383561643836,0.5753424657534246,0.589041095890411,0.6164383561643836,0.6712328767123288,0.6027397260273972,0.684931506849315,0.547945205479452,0.6164383561643836,0.589041095890411,0.589041095890411,0.6027397260273972,0.589041095890411,0.6164383561643836,0.589041095890411,0.6438356164383562,0.5342465753424658,0.589041095890411
AUC,0.524810510311734,0.5364680842687732,0.5619426414010843,0.5886738212272972,0.5499029086817993,0.5507471748251682,0.5242596097753355,0.5658381200140015,0.5448197438381432,0.5335188818955701,0.5322319892611292,0.5599874972790319,0.5449885997262051,0.5678590884611459,0.5395560514442503,0.5490493282494552,0.5593376379672038,0.5576317884860439,0.5668539923323301,0.5487905131080152,0.5282227780997382,0.5535913328927468,0.5725143973170349,0.5330301747475228,0.5484915802245631,0.5517858092171515,0.5385842773398288,0.5226098701141754,0.5143591026082189,0.5260963901988557,0.540012996451635,0.5403636016825992,0.5525739817802269,0.529645609827564,0.5884308678102297,0.5268564178251027,0.5810334083673159,0.526373624218952,0.5500703370015888,0.514704649007196,0.5870399298845776,0.5444394653941015,0.5277387903847162,0.5282379525248645,0.5433203119226866,0.5542378078061935,0.5564678132073673,0.5692702711969911,0.5257549042714003,0.5246301621612055,0.5632069420973164,0.5644233042705806,0.49705542888584675,0.5601032804991385,0.5628925370244595,0.5252812934017048,0.5454780615301326,0.5227595689253897,0.5618584158539294,0.5545536396843836,0.548439855997184,0.549155149990145,0.5543391423743549,0.5568368071263929,0.5442549023313549,0.5670367782916502,0.5500813875222467,0.5168515683654359,0.5607028041329681,0.558543823577586,0.5329439496456627,0.5807382117062168,0.5587024324289801,0.5126731238790517,0.5261169748439758,0.563223180059716,0.5373196534843413,0.547190148584375,0.5320250406897284,0.547685341478734,0.5234377934454977,0.4948993925129157,0.5606451015138589,0.5328625104615315,0.5390587836821862,0.5465823103299311,0.5730628976466463,0.5425032429276516,0.5933224009592633,0.5296183081565571,0.5454459742683708,0.5348983295205991,0.5486815915452732,0.5337008904198246,0.517317655237532,0.5624164606621781,0.5434911780466027,0.5623792895004261,0.5211995409983263,0.5450949154155443
Fscore,0.00044080593296030754,0.0004701462478714997,0.00045349146703462786,0.0005170643093610818,0.0004446954057140558,0.00047010339713473133,0.0004435545496240342,0.0005378551491834898,0.00048811007459106806,0.00047938508327466476,0.0004663884487454295,0.00048516321766465116,0.0004555668013612151,0.0004823553574799697,0.0004730102246446453,0.00045215021218104705,0.0005126941796000684,0.0004964446510020937,0.0004664489561804219,0.0004779888532283426,0.0004200347073057685,0.0004694330712772645,0.0005016893708707883,0.00043783739272776595,0.0004848009842766677,0.0004930844299783877,0.00048223878048838373,0.00046869119780977515,0.00043815201425293854,0.00046372529315795343,0.0004857815041643168,0.0004363655326783454,0.00048327357053899636,0.00046886088422090925,0.0005300220413556206,0.0004569119133757948,0.0005315560253527486,0.00048125462408200425,0.0004897280614475725,0.00045695287731248454,0.0004912002106959883,0.000454677170442265,0.0004904192050179283,0.00040778193703266117,0.0004793266894588337,0.00048577427170462594,0.0005033144309586772,0.0005065137389447011,0.00047307030560514755,0.0004654699807161408,0.000510033723965332,0.0004966891229371216,0.0003745840057006884,0.00047371260651199606,0.0005422709587497458,0.00047809210519543423,0.00045753694271799593,0.0004223254634620174,0.0005086166686503629,0.0005276247533709275,0.0004695585675432885,0.0005080867109277557,0.0004700086881265992,0.00047664451444212933,0.00046956158995595265,0.0004992749787645853,0.0004919036263095832,0.0004832439698293824,0.00048237412518198206,0.00048123112554663454,0.0005047768673904371,0.0005145052408252715,0.00046307328977065017,0.0004393526787217092,0.0004730632822089045,0.0004983341134264566,0.00044315302114273633,0.0005015100939364149,0.0004741925651439621,0.000490516545051371,0.0004438264917913457,0.00045162290830501307,0.00047393514115311126,0.0004627580606556321,0.0004824182708027494,0.0004589440271874585,0.0005164388962893311,0.00046925741836177003,0.0005583496663144201,0.00043793678589023564,0.0004696625847912057,0.00044322336477763325,0.000474180448531909,0.000499670391720863,0.0004648915376372101,0.0004984065132341158,0.0004588608350629467,0.0004971515432982983,0.00043433244486733297,0.0004581441920067998
HR@10,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5846400561424736,0.5853579084219573,0.628514295458955,0.6058396707019673,0.5548392485116004,0.5907961187624468,0.5582913180241641,0.5816216875714193,0.573165783123925,0.5778539061452944,0.603927982643109,0.6105805933059844,0.5896749027675197,0.5642234393791936,0.5564595787248292,0.6017769515793447,0.5689027917339542,0.5888669186617311,0.5862048390285549,0.5925350940362304,0.5811623138894225,0.5851913810631892,0.5959569062105158,0.568307031888771,0.5873043091873068,0.5719576191227076,0.613994922485263,0.5569512930768583,0.5856174838879145,0.5568735298314648,0.588859467311737,0.5727899936522581,0.5900190456688861,0.5893553168675212,0.610295788971364,0.5840320532232784,0.5980027061649519,0.6005468563200109,0.5721484191908557,0.573492987130547,0.5535279868515645,0.5715725055900718,0.581375045503315,0.5882490668247717,0.5597000330294483,0.5916351616742677,0.5892336258866832,0.5894467607716202,0.6026322148457092,0.5799043339406023,0.6094918540205123,0.6007434644453059,0.5640907063777473,0.5925572376538214,0.5935983243519509,0.5913071044718385,0.5989867898322891,0.5691959050785951,0.5800473152537328,0.6335195240563206,0.5745306829222688,0.5811260282029177,0.5858194560690139,0.6010726261002547,0.5799802919928024,0.5809866525846834,0.5665700573122381,0.6008493222594642,0.5657740597617379,0.5700918005784992,0.5827831024792004,0.5986764212039686,0.5319746317047315,0.5842359481261364,0.6034296509088086,0.601694476122911,0.5906663007709423,0.5807634898708902,0.6165808296982798,0.572008979832054,0.5637633430552026,0.5652567848795799,0.6014633770748601,0.6058308801440914,0.5901929582588007,0.613375158201849,0.5933315348198417,0.5998335273888467,0.5860097809899263,0.5584108663349547,0.5869642026872791,0.5979362734289695,0.5569207330114572,0.5932936643821167,0.5915345184229683,0.5927868309501901,0.5928889434444885,0.5763602140129939,0.5630032348599938,0.5917810168628532
NDCGk,0.237294363602578,0.19914474954243624,0.21175120773528242,0.23021421178533277,0.2269332245048352,0.22771105999755564,0.2274001233214832,0.21486259428124638,0.23289496794522802,0.21939452189780792,0.228071644732777,0.229705717772165,0.20350833659628292,0.2234623945413715,0.20183988838088057,0.2151119551336319,0.22785437272639927,0.20467737809497807,0.21158154907695392,0.20998241384278843,0.2140038841247338,0.21204239866383692,0.20563082882491288,0.2268341072237645,0.21994511852788945,0.20376049752139636,0.2193657422928306,0.20376122249413023,0.21098458542603285,0.21930442099346384,0.20683276536691642,0.21263513755174654,0.21926626701064372,0.19305971650135928,0.21941749474941435,0.2091385776612267,0.23008882050584697,0.20371903800930033,0.21525687698106194,0.20036961893558178,0.2253684031108111,0.21904035048013407,0.20761079798121018,0.19417580599656717,0.2048307668317375,0.21393418648705828,0.2043650965989677,0.2191822695767925,0.19823645990078126,0.20671750686959242,0.22418918478841038,0.21093586002277848,0.2048100234225641,0.20905191585243432,0.22700086190741012,0.20097703833471625,0.23413251914341573,0.20112453613844547,0.22046009717700726,0.22467442163151852,0.20313433441549067,0.22511110160281259,0.20822982350575983,0.235416925097646,0.20614572921038316,0.2203142322309718,0.20617823241082123,0.20333223778601367,0.20400097301716782,0.21086683332940026,0.20961367441434067,0.21890240613859022,0.23526117957877116,0.20538281928591676,0.20776958069449966,0.2275329369750967,0.21495597754960089,0.22918609710136822,0.21697724542354113,0.23290078744532106,0.20077303904185648,0.19944727484354294,0.23022100022798703,0.1994862914937275,0.20528915503030312,0.20939842605775658,0.22318819924800037,0.22184423656532742,0.2378246039585865,0.23994449631391607,0.22585131050094698,0.20391258131561732,0.22634354633260037,0.20933622559973702,0.19668461831036113,0.20686419611126342,0.20465309403460005,0.2148796635385267,0.20855038001552792,0.21001291605182265
global AUC,0.5907935186486614,0.5998826912888822,0.6187112499834818,0.6837190765708137,0.562205301656978,0.616151691636063,0.5539118520841068,0.627032930531379,0.5924696577084376,0.5887595369639569,0.5928189409420016,0.6269838266546053,0.5911633744544514,0.6011395703365734,0.5753600350304353,0.6170788088690911,0.6355134853961767,0.6249147064158793,0.6217966853231364,0.6139089809338807,0.5651602438195188,0.6027431798168951,0.6374887526594181,0.5890004012402408,0.6023203158505512,0.6013206690380687,0.6046139324066366,0.5414318089808137,0.5799951707012935,0.5505169271724938,0.6007363779538911,0.5760060438312917,0.6108691956815018,0.567800440643474,0.6736883708805301,0.5791161061917136,0.6616597230481283,0.6028585063531707,0.6131444921367725,0.5667135481049808,0.645842568466121,0.5748990292148546,0.6003328852416874,0.5550924474333239,0.5883703099040266,0.6146884862070663,0.6351518886522293,0.6280450410190059,0.5913467256273583,0.5753227941697632,0.6265674197729749,0.6345494276319978,0.5288995085407708,0.6146009401515341,0.636158142714186,0.5908414212073487,0.5892714486334406,0.5530171704394061,0.6126627635842046,0.6621123196371057,0.5774124869807153,0.6371420222267873,0.5786764237721629,0.6161281157686214,0.5927648816281224,0.6132623714739812,0.6000597355418364,0.580180173686569,0.5891953150997276,0.5770588489690889,0.6137612188092775,0.6233900835997256,0.5878990928847131,0.565663145603356,0.5920050479385982,0.6385421584562581,0.5925358803679397,0.6113202906228715,0.6154717455992714,0.6114031815708194,0.5770405288682743,0.5301685509340849,0.614318029742233,0.5821925316457217,0.591789111012603,0.616398562502778,0.6566024742347303,0.6022510898958338,0.6689119301697822,0.5540169674166495,0.6157581097980704,0.5910699719732491,0.5869216704568252,0.6035315448109665,0.5925336278965281,0.6148153754299216,0.5925821311142585,0.634835641666036,0.5424269508504731,0.59046991358919
global NDCG,0.3369227256718652,0.3210611060905248,0.3221198884251937,0.32588798608922415,0.31770332014464187,0.32642745604563095,0.31606159682566326,0.32703431225597945,0.3156608238195128,0.3186416689986048,0.3199446848348173,0.32591708904141276,0.31772327336900297,0.3248512785797217,0.3185001514960576,0.33251615218877784,0.3206001715194178,0.32175460186780963,0.3224551177061495,0.3208027435463514,0.3200190799610857,0.3189004894019987,0.3249636182267441,0.3111934831661914,0.32902615608736757,0.3248304464308254,0.3213706153928262,0.31803572195691876,0.32122229238156585,0.318577073116112,0.31451529979717685,0.32095135788922446,0.3204064544077281,0.3246937071235413,0.3271940603758143,0.3239813868344077,0.3271180180344176,0.3228170186029198,0.3194968090999479,0.3228218815383529,0.31974606528913313,0.31795557842033156,0.31904783607835796,0.3198164924712937,0.32018247236674924,0.32100166118701656,0.32275400595356835,0.32895675953732184,0.3208503778896755,0.3175451996824392,0.32225497907546397,0.323714815709137,0.31975415066619345,0.32224016605671146,0.32063099143313534,0.3192922089834815,0.3280283162092954,0.3167752188082387,0.3310258123521985,0.32705466896873225,0.321084117407768,0.32810909946458905,0.31797022486477156,0.32447417724004235,0.320979709195462,0.3208858569306175,0.32136703065143046,0.31772888259169063,0.3199254264388624,0.31277657101575107,0.32193496566549146,0.3155159115210117,0.31584266748419704,0.32401873602625597,0.3200316597152819,0.32985169701507483,0.3198585080622306,0.31861110566191375,0.32604204211634746,0.31442278011298436,0.314902126668899,0.3175210404113211,0.3306230469008413,0.3248451480854013,0.3187342652643519,0.33353944461619645,0.32320183840346534,0.3219177093750947,0.31976177913708237,0.3171989942765707,0.32296847880816926,0.3183791458001941,0.3162013992211862,0.3191159654814827,0.3198819179866818,0.32615444941068383,0.31978959479272095,0.32099785192989533,0.31012193829421564,0.31823389954093884
