,1_SCPMF,2_SCPMF,3_SCPMF,4_SCPMF,5_SCPMF,6_SCPMF,7_SCPMF,8_SCPMF,9_SCPMF,10_SCPMF,11_SCPMF,12_SCPMF,13_SCPMF,14_SCPMF,15_SCPMF,16_SCPMF,17_SCPMF,18_SCPMF,19_SCPMF,20_SCPMF,21_SCPMF,22_SCPMF,23_SCPMF,24_SCPMF,25_SCPMF,26_SCPMF,27_SCPMF,28_SCPMF,29_SCPMF,30_SCPMF,31_SCPMF,32_SCPMF,33_SCPMF,34_SCPMF,35_SCPMF,36_SCPMF,37_SCPMF,38_SCPMF,39_SCPMF,40_SCPMF,41_SCPMF,42_SCPMF,43_SCPMF,44_SCPMF,45_SCPMF,46_SCPMF,47_SCPMF,48_SCPMF,49_SCPMF,50_SCPMF,51_SCPMF,52_SCPMF,53_SCPMF,54_SCPMF,55_SCPMF,56_SCPMF,57_SCPMF,58_SCPMF,59_SCPMF,60_SCPMF,61_SCPMF,62_SCPMF,63_SCPMF,64_SCPMF,65_SCPMF,66_SCPMF,67_SCPMF,68_SCPMF,69_SCPMF,70_SCPMF,71_SCPMF,72_SCPMF,73_SCPMF,74_SCPMF,75_SCPMF,76_SCPMF,77_SCPMF,78_SCPMF,79_SCPMF,80_SCPMF,81_SCPMF,82_SCPMF,83_SCPMF,84_SCPMF,85_SCPMF,86_SCPMF,87_SCPMF,88_SCPMF,89_SCPMF,90_SCPMF,91_SCPMF,92_SCPMF,93_SCPMF,94_SCPMF,95_SCPMF,96_SCPMF,97_SCPMF,98_SCPMF,99_SCPMF,100_SCPMF
ACC,0.3835616438356164,0.5068493150684932,0.547945205479452,0.3287671232876712,0.4657534246575342,0.4383561643835616,0.4246575342465753,0.3835616438356164,0.4520547945205479,0.4657534246575342,0.3150684931506849,0.4794520547945205,0.3972602739726027,0.4657534246575342,0.3972602739726027,0.5068493150684932,0.3150684931506849,0.3835616438356164,0.3698630136986301,0.4657534246575342,0.3424657534246575,0.4383561643835616,0.3013698630136986,0.3698630136986301,0.4246575342465753,0.3424657534246575,0.4246575342465753,0.2602739726027397,0.5753424657534246,0.2602739726027397,0.5068493150684932,0.5068493150684932,0.3698630136986301,0.3287671232876712,0.547945205479452,0.3972602739726027,0.4794520547945205,0.4246575342465753,0.4931506849315068,0.2876712328767123,0.273972602739726,0.3424657534246575,0.3835616438356164,0.4520547945205479,0.3698630136986301,0.5068493150684932,0.4383561643835616,0.3561643835616438,0.2191780821917808,0.3972602739726027,0.3972602739726027,0.547945205479452,0.3287671232876712,0.3972602739726027,0.4794520547945205,0.410958904109589,0.5342465753424658,0.2876712328767123,0.3972602739726027,0.3698630136986301,0.3835616438356164,0.4520547945205479,0.4246575342465753,0.4520547945205479,0.5342465753424658,0.4246575342465753,0.4794520547945205,0.3013698630136986,0.4246575342465753,0.4246575342465753,0.547945205479452,0.3424657534246575,0.3013698630136986,0.4931506849315068,0.5753424657534246,0.3013698630136986,0.273972602739726,0.3698630136986301,0.3150684931506849,0.3424657534246575,0.5068493150684932,0.410958904109589,0.3150684931506849,0.3561643835616438,0.3698630136986301,0.3698630136986301,0.3561643835616438,0.5342465753424658,0.3698630136986301,0.5205479452054794,0.3424657534246575,0.3972602739726027,0.4794520547945205,0.3150684931506849,0.589041095890411,0.5068493150684932,0.4520547945205479,0.3972602739726027,0.3972602739726027,0.5616438356164384
AUC,0.4554922244068442,0.5350704525323848,0.548893639166457,0.4908038130350738,0.5170597886475253,0.5416033006407338,0.4896590995739007,0.5527205180993815,0.534990996118296,0.5280240070378744,0.4765272628482998,0.521178791013378,0.4871449535908431,0.5513155862335596,0.4612078215046581,0.5267158796251066,0.4721235424645648,0.5363356273389809,0.5314386311091649,0.5274865718337575,0.4935272123199249,0.5152253342077053,0.4698285987287166,0.4830879690283297,0.4903947874771767,0.5117278307410184,0.4878715274221936,0.4759186905373346,0.5504654442592899,0.4580567444328433,0.5334253071822184,0.5359794267117751,0.4967469047664824,0.4835570710362245,0.5350155379111692,0.482549739822467,0.5508452673376085,0.477440945343601,0.5138811522492298,0.4732992529473541,0.5048555671042755,0.4872179281823077,0.4916924420232677,0.5199440506152189,0.4941065058573896,0.5143105523169874,0.5511475628211783,0.4632736532847563,0.4577664699286198,0.4736098361306827,0.506368334870329,0.530357087598545,0.4943829305079644,0.5170839513685975,0.5209194446482582,0.4790164745607508,0.5516492665298521,0.4622945454815753,0.5203928116825788,0.4903461475950826,0.5193755898337608,0.5460369746722055,0.4697506252504893,0.4815292687245012,0.4994591122779285,0.4973251227776288,0.5515318972680977,0.4978468461204345,0.5010607656238943,0.5084968376387302,0.5208677711018417,0.47756369921238934,0.4945245511007316,0.5364285593305352,0.5106399414289382,0.47445075231692646,0.4422428138427866,0.5215262427985622,0.4733565950231861,0.3881408067110052,0.5293996589312913,0.5095615156149462,0.49607093287891796,0.5316562545081533,0.47951867407092635,0.5451979441447402,0.48901703695594745,0.5207937650165513,0.5078577243258201,0.5547734756071111,0.5142121672718518,0.5391407207386542,0.545997965044915,0.5114288769312334,0.5172395013786748,0.5001309867459147,0.5123951858840375,0.46488076622378266,0.4746624047355943,0.5400876932149026
Fscore,0.0004074476741915,0.0003512405044433,0.0003718222869963,0.0002002235620299,0.0002853907384968,0.000387390007831,0.0002000105354016,0.0003301328683339,0.0003315044455039,0.0002451729443314,0.0001284039341711,0.000444251469898,0.0003052935006667,0.0005561751039915,0.0003566293110185,0.0003805332335006,0.0003718791657809,0.0004423636963307,0.0002017358758119,0.0003701000961916,9.203044302765056e-05,0.0002904024466362,0.0002730644082571,0.0002424400840479,0.000277330821069,0.0001382105655103,0.0003576763386852,7.475138419531883e-05,0.0004386179997779,0.0002600972826093,0.0005805651399261,0.0002713176265048,0.0002358504830614,0.0002873548206608,0.0003179287925559,0.000374759987397,0.0003509764266569,0.000296740368636,0.0003351889721025,0.0001139664001402,0.0002018924122561,0.0002434715082624,0.0002991038008323,0.000269967165716,0.0003693914503078,0.000306624318034,0.0004348809908481,0.0002565868274826,0.000170255456226,0.0003014572130368,0.0004054613079942,0.0004052181011012,0.0002305239285217,0.0002621445950534,0.0002909339948017,0.0004890912731005,0.0002948796861721,0.0001741215216517,0.0002313189139167,0.0001975479232477,0.000279569793581,0.0003562666789111,0.0003570805754954,0.0004431478501812,0.0003731515334551,0.0003785357515789,0.0003174842002506,0.00041216869591318344,0.0005165724104370118,0.00020647988602938712,0.00041007663434287,0.0003076369939180571,0.00021454559089158077,0.00035422529327594796,0.0003793054858329912,0.00035405146598803416,0.00018127088606059578,0.000271784388410017,0.00013029708077308535,0.0002387585651232448,0.0003241719509329552,0.00032644706631065635,0.00024398445359211934,0.00018663953185779896,0.00024312047064018228,0.0003226786048399306,0.00026510837236747454,0.0005687444690020552,0.000346428948637819,0.0008825590810739311,0.00017872898868089783,0.00046983180967271763,0.0004158116010775617,0.0001330242828807056,0.00047622974291753516,0.0003277785567319378,0.00031790951732975456,0.000264660211713754,0.00022394227552189442,0.0003618665460168135
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0277777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0277777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0138888888888888,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.013888888888888888,0.0,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0138888888888888,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0
Lin's AUC,0.4120835339053567,0.5496375445093801,0.5763873336391773,0.4233730360739592,0.4201423205496863,0.4650240027802091,0.3867684161252308,0.3446187247257052,0.4293015497347358,0.4629712661394891,0.3224864154064417,0.4190060433321441,0.4082611027173846,0.4292149284178168,0.4743002877817692,0.5221091508717611,0.3766138362996041,0.4523724511430179,0.3513344684394184,0.4174397585048894,0.3240200119127759,0.484146356923665,0.3414713881446561,0.3687938018054477,0.3523555134817484,0.3606820859830402,0.4181876587284405,0.3215062236823901,0.4873180185315893,0.404831263494082,0.5404539892019111,0.5832473488182259,0.464417648288128,0.4077102642987126,0.4835915819540154,0.3920610201716047,0.474508641329997,0.4919807113973382,0.4174725593344241,0.3064669895740605,0.3471636361585148,0.4476117248718669,0.461046021822541,0.4621051777424274,0.4157755332712231,0.5320894672736719,0.428077055232485,0.4267952525681511,0.3133610839833655,0.4454051397287409,0.4083525385679205,0.5370324542175744,0.3646872400246049,0.4102862533924798,0.500423016005228,0.4375434498172354,0.4455869848380613,0.3574519387119962,0.4261611308749025,0.4471643568180805,0.3362424120206518,0.4893973604096764,0.4582180310588816,0.4253587353520028,0.532445786595801,0.4974768631914937,0.4587335098540469,0.45647845372212653,0.49315236657531747,0.3846788765864831,0.603878018566194,0.32531372803218944,0.3714945847013057,0.5522483649576628,0.5563758750038339,0.3071061196700234,0.3499176936927825,0.36417901822513077,0.35990990090061814,0.4187979316980099,0.5692854120794694,0.40055994770055015,0.2627827814213932,0.34124972891401495,0.3626466729358128,0.404978343467657,0.3688005225286292,0.4992778864225397,0.38092552467816854,0.4851162084312768,0.30977791566859675,0.4031916194115347,0.46818562925274226,0.33733060580794677,0.5807327956018724,0.5416003798434877,0.4907669516079366,0.4462927739925969,0.4032464835852082,0.5099810150681382
NDCGk,0.2007893636817799,0.19784181449169,0.2231761874185197,0.1922080374346131,0.2082703701253453,0.227016027236472,0.1985792257166602,0.208526520332546,0.2192205104233837,0.1970401969928233,0.1887419091336307,0.2112892495325886,0.2072457273848071,0.2282161497904721,0.1918719934335369,0.2087781394449649,0.1950617348624781,0.2463830145366121,0.2087111789816733,0.2238267560222988,0.1866126624398814,0.2027669879578685,0.1926397203672092,0.1873667958347605,0.190175036827033,0.1840115691339333,0.1980270327763501,0.1834275763467777,0.2170724503144157,0.1934198343311592,0.218502607393794,0.2064211852292872,0.1897116502432661,0.1975155120741191,0.2033359772611966,0.1921779788717946,0.1977487164916983,0.216751625690802,0.2056176330056175,0.1846494306553234,0.2149515853493609,0.1912009227857806,0.2280913583274763,0.1910325247540881,0.1919992134508239,0.2004311371682308,0.2191372279884761,0.1885123421061039,0.1986397161609042,0.2256410513042641,0.2055154331900923,0.2246835069441007,0.1895850753457897,0.1978143389355987,0.2039196706484292,0.1923922583047769,0.2514687386813032,0.1808465129654959,0.2115184826731855,0.2056393103009622,0.2217218419586974,0.2077155144525853,0.1928650848203755,0.2014173454847604,0.1939012917959964,0.1926494172146955,0.2475610728667563,0.21105974405030806,0.19804481782139183,0.20284807965101057,0.19877340737407584,0.2396675411755462,0.19663771138834202,0.24055149701054013,0.19430484717173088,0.18521647023295984,0.19581792104192342,0.19432959815460032,0.2095835071921285,0.18707252657842252,0.20729906695807007,0.21272735875071488,0.183463514835823,0.22920193388973445,0.18758887273716643,0.21832030987726947,0.18514394086895905,0.22753996574527582,0.20998596388301946,0.2692991362724406,0.19637783433680195,0.22842616392624965,0.2163517885357931,0.20849375202755316,0.22486852191391907,0.2100344978833673,0.20200055340449224,0.20129067387405233,0.20239699072108108,0.19133928196342337
global AUC,0.3814136870974833,0.5200836357651615,0.5531626800925976,0.3297443955507982,0.4587305191255845,0.4339857691859508,0.4196636549622246,0.3857201121070038,0.4409271352527993,0.4578379397875349,0.3113900571707277,0.4691854402650588,0.3966666726732571,0.4544113301113982,0.391594707713303,0.4896350275522302,0.3272579674418772,0.3866762111388615,0.365369032902901,0.4558419497873066,0.337428176194921,0.4336872416415291,0.3028003325248463,0.3698505500234857,0.4200097847358122,0.3372170445412707,0.4211594461443096,0.2644179193411011,0.5587857497245978,0.2794264366863322,0.5023476758699645,0.5119079153647381,0.3666646544588722,0.328915035577035,0.5348080413830053,0.4004059253813284,0.4724052730656076,0.4312494669150992,0.485790058852573,0.2853014827869138,0.2750863747703981,0.3577975754998384,0.3794068852344793,0.4490947467561408,0.3704543625265641,0.5145347475249844,0.4509967336161236,0.3545475595823738,0.2280893095904826,0.4031219554094753,0.3924046964329262,0.548773364135129,0.3306087439138222,0.3915878001343073,0.4817866663302976,0.4081856613075866,0.5182137841639847,0.2948858988081723,0.3954582968432965,0.3683585129604201,0.3761215805982324,0.4527180722688934,0.4241532809798911,0.4517808939968933,0.5414990827936411,0.4290590135496667,0.468845467246663,0.3050910959504769,0.422062236686092,0.41290233644354585,0.5546463079290598,0.3499044651791946,0.3009244743332384,0.49247163988327997,0.5756388909911957,0.3035220243651334,0.27972136027649536,0.36545462681654306,0.3145645402135223,0.3464814594573166,0.5152085368065842,0.40631971399019,0.31400968142245667,0.3472174169498774,0.3677037946034389,0.3683000988684785,0.35727590312090424,0.5303281760747893,0.36655203088829064,0.5090417205758158,0.3394454895911794,0.4037499444390385,0.47816574345371743,0.3174607679545998,0.5855572734404189,0.5027535712183407,0.4505138037454695,0.39521608108416556,0.3883612099195237,0.5573178891880171
global NDCG,0.2969890225829535,0.3432866622509363,0.330850436985199,0.2992665551399898,0.3015823209320711,0.3190188742977952,0.3079539575698896,0.2985722626542157,0.3323149326296852,0.3158749986443629,0.2822597896140956,0.3258448640027576,0.3122345108663658,0.3043925921906659,0.2906902638547231,0.3117336909284823,0.2899566886913389,0.3035351932501838,0.2991653804775849,0.3017603813349903,0.2884596373044266,0.3062233590940709,0.285989959743438,0.3203486739013572,0.3045220344207013,0.290960509052372,0.3123715362412066,0.2872999806604258,0.3266493872301139,0.2811282983150744,0.3909638756397254,0.3379244765576389,0.3105898336068846,0.2886067681320231,0.3271736978869903,0.3131282964361213,0.3126232304188443,0.3040699027297185,0.3134590125815327,0.2858142953094289,0.2883622396671528,0.3072970738029429,0.2935114856959073,0.3113188236959368,0.3587256961230705,0.3208236951490121,0.323599995140338,0.2892782494813044,0.2884545814954117,0.2980043589680325,0.2999206672033746,0.3284385714688894,0.297915145222086,0.3041482012287632,0.3163784540538172,0.3139081770443083,0.3127219230182948,0.2918308085319798,0.3231408163814705,0.2960944149016915,0.295994591858069,0.3151478353953459,0.3478917722871891,0.3236448971613341,0.3173917693587797,0.3532405956196928,0.3282889095309387,0.3144055850075135,0.3119467161113295,0.306100057359882,0.33450234416541413,0.3030119385753268,0.285850812751127,0.33793155208102094,0.32350852432478705,0.29233527966520295,0.2899148196146793,0.2972917038263829,0.2965549373577495,0.2971597708729061,0.3443940459175046,0.29900138253847963,0.288460403225257,0.28922563046344674,0.31895427682462557,0.3146931253304505,0.30011180830884593,0.3927488099012392,0.3041921393479266,0.42376970194209557,0.2911368253084352,0.3138474175918954,0.3646846766645293,0.28677269999012606,0.36024673757462655,0.32421694168681103,0.3470408849688401,0.29846106391364935,0.2911849497995997,0.3251349391887091
